# commits in default branch,% of signed commits,# branches,# files in default branch,# contributors,# releases,% pre-releases in releases,Average # of assets per release,Average # of mentions per release,Average # of reactions per release,# contributors created release,# deployments,# contributors created deployment,repo size in Kbyte,# tags,# languages,% main language use,# subscribers,# milestones,# labels,# .md files,# stars,# topics,# forks,Average # issues per milestones,% closed milestones,Repo age ,Insertions in default branch,Deletions in default branch,Days from 1st commit in default branch,Days from last commit in default branch,README length (# lines),# Open pull requests,# Closed pull requests,% closed pull requests,% merged pulls among closed,# Open issues,# Closed issues,% closed issues,Average time to close issue (days),Average time to close pull request (days),Number of issue comments,Number of pull request comments,# Devs opened issues,# Devs closed issues,# Devs opened pulls,# permissions in license,# conditions in license,# limitations in license,# reactions in closed issues,# reactions in closed pulls
4361,0.397089397089397,82,391,283,84,0.023809523809524,0,0.988095238095238,0.095238095238095,3,322,4,154400,101,6,0.68454605504749,596,6,39,46,44109,0,3166,4.833333,0.500000,2670,75332,5,2670,0,250,6,1061,0.9943767573,0.842601319509896,581,1109,0.6562130178,249.816952209,10.607917059,4851,957,1189,178,341,4,1,2,1059,128
21447,0.079444263135811,159,1437,38,83,0.096385542168675,7,0.144578313253012,0.036144578313253,2,249,1,142111,774,10,0.521059008730313,160,3,79,29,10420,20,541,6.333333,0.000000,992,168636,6734,1071,0,213,10,1421,0.9930118798,0.918367346938775,275,1284,0.8236048749,36.508133230,2.197192982,2692,1342,263,80,42,5,5,2,117,130
20571,0.606346275329219,1330,7584,398,267,0.353159851301115,0.985130111524164,0.260223048327138,0.144981412639405,23,7817,51,579847,6296,15,0.762910287463333,334,167,280,608,7584,3,2789,88.706587,0.988024,1845,719066,2,2051,0,60,759,19708,0.9629159134,,3788,14547,0.7934005999,97.851872209,20.684381339,21220,18780,3886,1375,1130,4,4,2,9444,6254
1886,0.717921527041357,2,20,17,79,0.40506329113924,0,0,0.417721518987342,2,1304,4,3321,81,3,0.775067373244292,151,0,17,4,4896,8,333,0.000000,0.000000,1832,3135,2,1831,0,26,1,235,0.9957627119,0.774468085106383,8,867,0.9908571429,37.711162255,2.774468085,10448,959,254,65,34,4,1,2,784,15
5509,0.248502450535487,178,33,77,3383,0.080294117647059,23.4753323485968,0,0.089512555391433,5,0,0,17396,4754,1,1,314,250,298,10,12198,6,1370,47.040000,0.984000,1566,4691,141,1931,0,181,13,1756,0.9926512154,0.87129840546697,4233,15063,0.7806281095,58.991647885,11.071143995,39100,900,3156,1532,113,5,3,3,5886,48
4033,0.073146541036449,5,2266,120,5,0,0,44775,1,3,269,9,22289,33,11,0.597018955624296,398,41,46,8,6695,0,1548,15.975610,0.902439,3745,267337,0,4432,0,75,5,537,0.9907749077,0.770949720670391,100,1655,0.943019943,143.474924471,14.761638734,5515,612,634,132,155,0,0,0,33,5
1484,0.01078167115903,2,659,1,0,0,0,0,0,0,271,1,190380,0,5,0.777718202720165,65,0,11,54,4073,4,206,0.000000,0.000000,563,191451,9,416,0,217,0,20,1,0,3,21,0.875,73.952380952,19.750000000,74,35,19,3,4,4,1,2,21,0
15137,0.233335535442954,26,1453,357,313,0.070287539936102,1.70607028753994,0,0.178913738019169,8,0,0,96675,331,8,0.984401566459236,966,82,80,474,42187,9,5150,27.439024,0.987805,2500,155744,3995,2500,0,142,29,4820,0.9940193854,0.848340248962656,836,4694,0.8488245931,113.986578611,10.602697095,28092,11163,3097,771,1275,4,1,2,7334,1776
10682,0.607096049428946,32,8948,458,1361,0.893460690668626,0,1.26157237325496,7.39235855988244,12,1477,1,1741098,1487,9,0.75533296551866,1232,59,53,619,81911,14,16914,47.423729,0.966102,1966,531096,173,1966,0,0,213,10445,0.9800150122,0.803159406414552,867,11102,0.9275628707,46.055555556,10.147162951,26765,13235,6919,1203,2884,4,1,2,30124,9049
2868,0.057880055788006,4,149,280,36,0,0,0.194444444444444,5.33333333333333,1,15,2,17817,37,4,0.580219689033182,1722,0,13,5,58545,3,16021,0.000000,0.000000,3913,40435,702,3913,0,66,88,860,0.9071729958,0.412790697674419,601,1485,0.7118887824,102.633670034,62.309302326,4967,1482,1503,225,690,4,1,2,327,98
2295,0.911111111111111,25,939,138,243,0.037037037037037,0.522633744855967,0,0.131687242798354,4,4,1,60992,287,11,0.861750680181647,321,0,34,256,32607,17,801,0.000000,0.000000,956,109337,0,955,0,161,6,2172,0.9972451791,0.896869244935543,123,897,0.8794117647,33.995545657,4.810313076,3768,1295,549,115,164,5,2,3,370,177
3344,0.781997607655502,36,147,73,82,0.634146341463415,4.14634146341463,1.67073170731707,2.24390243902439,6,0,0,35217,115,3,0.982239074891188,210,26,28,6,22291,9,779,22.692308,0.923077,1402,26049,11667,1402,0,205,3,915,0.9967320261,0.834972677595628,42,820,0.9512761021,69.868453106,5.986899563,2972,1860,311,65,91,4,1,2,853,314
7047,0.240953597275436,1,1187,298,11,0.090909090909091,13.7272727272727,1.36363636363636,1.45454545454546,2,1,1,14313,11,5,0.987636333385999,179,3,145,24,10904,6,822,10.000000,0.000000,3126,194708,5,3127,0,499,33,2363,0.9862270451,0.880236986881083,167,610,0.7850707851,180.351882160,20.057082452,2250,4884,268,63,358,4,1,2,289,195
7015,0.692943692088382,29,1916,444,163,0.006134969325153,4.60122699386503,0,9.63803680981595,2,1593,4,53555,214,4,0.631787747888281,1578,30,69,43,80479,4,4300,44759,0.900000,1380,435290,46,1381,0,104,39,7560,0.9948677458,0.799206349206349,731,4827,0.8684778697,62.109640050,6.120703332,23876,12846,1828,625,858,4,1,2,12339,4168
2298,0.108355091383812,5,779,258,34,0,10.7941176470588,0.470588235294118,6.91176470588235,3,0,0,27221,34,4,0.955483077885073,199,9,26,59,32641,8,866,10.000000,0.888889,1404,91914,455,1403,0,786,11,1050,0.9896324222,0.885714285714286,124,881,0.8766169154,33.995459705,7.486666667,4667,1998,710,195,311,5,2,3,588,243
4977,0.669077757685353,2,1342,285,47,0.25531914893617,3.68085106382979,0,2.27659574468085,2,0,0,24344,48,5,0.993945248043239,160,0,29,362,17276,2,811,0.000000,0.000000,1019,142929,616,1020,0,283,1,2567,0.9996105919,0.926373198285937,279,1671,0.8569230769,130.856630824,2.408719346,7813,3692,652,186,319,4,1,2,708,263
5897,0.032050195014414,31,1069,30,8,0,44683,0,2.875,1,0,0,15015,14,8,0.924219035844946,32,8,30,91,3505,7,111,4.250000,0.875000,660,119888,80,660,0,164,5,417,0.9881516588,0.92326139088729,172,250,0.5924170616,41.952191235,2.470167064,931,576,99,19,31,5,5,2,24,18
723,0.940525587828492,6,325,77,28,0,1.67857142857143,0,1,2,0,0,9591,38,3,0.860548785867636,24,0,12,6,2782,9,136,0.000000,0.000000,566,41664,2584,508,2,72,7,157,0.9573170732,0.757961783439491,35,456,0.9287169043,8.322368421,8.350318471,1943,377,323,132,101,5,4,2,106,28
1791,0.013400335008375,76,755,82,0,0,0,0,0,0,7,1,6401,38,4,0.982701083543058,67,0,9,7,3245,4,333,0.000000,0.000000,2122,37696,2,2122,2,261,15,535,0.9727272727,0.719626168224299,112,352,0.7586206897,118.664772727,17.373831776,1946,1430,222,64,106,5,2,3,119,162
1145,0.79825327510917,308,284,183,37,0,0,1.62162162162162,1.10810810810811,2,1,1,7052,172,4,0.997452786571637,37,10,34,28,2244,8,334,9.000000,0.600000,1138,60867,523,1252,1,485,55,1231,0.9572317263,0.899268887083672,299,323,0.5192926045,52.876543210,10.571080422,1783,1875,281,47,222,4,1,2,85,194
