# commits in default branch,% of signed commits,# branches,# files in default branch,# contributors,# releases,% pre-releases in releases,Average # of assets per release,Average # of mentions per release,Average # of reactions per release,# contributors created release,# deployments,# contributors created deployment,repo size in Kbyte,# tags,# languages,% main language use,# subscribers,# milestones,# labels,# .md files,# stars,# topics,# forks,Average # issues per milestones,% closed milestones,Repo age ,Insertions in default branch,Deletions in default branch,Days from 1st commit in default branch,Days from last commit in default branch,README length (# lines),# Open pull requests,# Closed pull requests,% closed pull requests,% merged pulls among closed,# Open issues,# Closed issues,% closed issues,Average time to close issue (days),Average time to close pull request (days),Number of issue comments,Number of pull request comments,# Devs opened issues,# Devs closed issues,# Devs opened pulls,# permissions in license,# conditions in license,# limitations in license,# reactions in closed issues,# reactions in closed pulls
9260,0.263442021161736,56,4142,217,55,0.072727272727273,0,0.290909090909091,0.581818181818182,9,0,0,477038,138,10,0.762034308677332,509,16,61,16,10719,5,2512,12.375000,0.687500,2668,493977,0,2669,0,87,40,6464,0.9938499385,0.823019801980198,931,2421,0.7222553699,120.034682081,10.379347658,5873,7140,671,127,319,5,3,3,390,151
27240,0.00186963853655,30,3233,118,57,0.017543859649123,0.192982456140351,0,0.508771929824561,4,0,0,838754,1532,7,0.793708812538093,378,58,5,13,9081,0,2409,12.017241,1.000000,2851,1070497,324,2849,0,44,9,2518,0.9964384646,0.725972994440032,209,2505,0.9229918939,326.213972056,14.465051628,10255,2255,1451,292,209,5,4,2,1995,249
102,0.049019607843137,3,184,9,13,0,1,0,0.538461538461538,1,0,0,4503,15,7,0.709005220937163,95,0,9,8,4188,9,195,0.000000,0.000000,365,35181,1782,356,49,133,2,21,0.9130434783,0.904761904761905,38,41,0.5189873418,7.317073171,21.142857143,431,20,68,16,13,5,5,2,10,4
5860,0.066496163682865,4,70,305,36,0,0.083333333333333,0,0,1,21,3,17663,36,5,0.632857897517168,1414,0,4,7,29451,20,4650,0.000000,0.000000,2584,53424,19,2584,0,5201,0,780,1,0.874358974358974,1,231,0.9956896552,23.380952381,0.366197183,533,1059,71,11,352,4,0,4,46,88
2053,0.030199707744764,1,513,56,29,0.068965517241379,0,0,0.103448275862069,2,0,0,23403,43,11,0.99516366919274,93,1,9,11,3779,0,352,41.000000,1.000000,2000,467565,102211,2000,11,303,0,806,1,0.940446650124069,64,343,0.8427518428,67.078717201,3.233250620,1978,922,188,73,78,5,2,3,29,27
7854,0.138655462184874,7,1197,72,53,0.735849056603773,0.981132075471698,0,1,1,0,0,33580,106,10,0.915239623748903,116,42,10,27,5304,6,394,37.238095,0.928571,1738,114701,2,1739,10,93,5,675,0.9926470588,0.905185185185185,526,2268,0.8117394417,59.641850220,3.297777778,5827,410,814,118,87,4,1,2,451,18
1219,0.488925348646432,7,73,255,0,0,0,0,0,0,8,3,8067,0,2,0.959778626549224,924,0,14,3,29511,18,1939,0.000000,0.000000,1573,11471,21,1573,95,873,19,553,0.9667832168,0.869801084990958,31,131,0.8086419753,63.625954198,11.126582278,123,750,72,6,318,4,0,4,24,44
470,0.074468085106383,8,213,16,19,0.052631578947369,1,0,0,1,0,0,120931,20,2,0.948214741203846,104,8,10,3,5730,6,467,3.125000,0.750000,2439,13343,12,2439,318,128,16,143,0.8993710692,0.923076923076923,181,139,0.434375,97.856115108,14.636363636,689,65,226,30,29,4,1,2,32,3
532,0.109022556390977,2,524,70,37,0.162162162162162,0.081081081081081,0,0,3,10,2,30805,37,6,0.891592049279228,379,4,20,5,20665,16,1676,11.000000,0.250000,1916,80671,16743,1892,344,201,3,139,0.9788732394,0.79136690647482,178,406,0.6952054795,90.926108374,87.964028777,1741,250,464,107,97,4,1,2,227,56
6837,0.01945297645166,12,194,278,78,0,0,0.948717948717949,3.48717948717949,1,0,0,78874,79,7,0.876242715428109,990,16,53,15,35788,7,6128,2.125000,0.875000,2773,87727,4,2773,0,0,111,796,0.8776185226,0.351758793969849,595,3219,0.8439958049,55.096213532,65.457286432,19415,3955,2029,594,549,4,1,2,1262,222
